id,hometown,habit,age,gender,result
1600,Binh Duong,marathon,19,female,no
1601,Ha Noi,marathon,23,male,yes
1602,Vinh Phuc,volleyball,18,female,no
1603,Hai Duong,football,19,male,yes
1604,Hai Phong,football,21,male,yes
1605,Vinh,football,23,male,yes
1606,Hai Duong,volleyball,21,male,yes
1607,Hai Duong,marathon,18,male,yes
1608,Vinh Phuc,volleyball,19,female,yes
1609,Ha Noi,badminton,23,male,yes
1610,Hai Duong,badminton,22,male,yes
1611,Ca Mau,badminton,18,male,yes
1612,Vinh,badminton,19,female,yes
1613,Binh Duong,badminton,20,female,yes
1614,Hai Duong,football,21,female,yes
1615,Vinh Phuc,marathon,19,male,yes
1616,Hai Duong,volleyball,22,female,no
1617,Hai Duong,badminton,23,female,no
1618,Ha Noi,football,18,female,yes
1619,Ha Noi,volleyball,20,female,no
1620,Hai Phong,marathon,21,female,yes
1621,Hai Duong,volleyball,20,female,no
1622,Binh Duong,badminton,18,female,yes
1623,Hai Phong,volleyball,23,male,yes
1624,Vinh Phuc,football,22,female,no
1625,Hai Duong,badminton,22,male,no
1626,Hai Duong,volleyball,22,male,no
1627,Hai Phong,football,21,male,no
1628,Hai Duong,volleyball,20,male,no
1629,Ha Noi,marathon,18,female,yes
1630,Hai Duong,football,20,female,no
1631,Vinh Phuc,marathon,20,male,yes
1632,Hai Phong,football,20,male,yes
1633,Hai Duong,volleyball,23,female,no
1634,Vinh Phuc,football,23,male,no
1635,Vinh Phuc,football,21,female,yes
1636,Hai Phong,football,23,female,yes
1637,Hai Duong,football,22,male,no
1638,Ca Mau,badminton,23,male,no
1639,Ha Noi,football,18,male,yes
1640,Hai Duong,football,19,female,yes
1641,Ha Noi,marathon,20,male,no
1642,Hai Duong,volleyball,21,female,no
1643,Binh Duong,badminton,21,female,yes
1644,Hai Duong,volleyball,22,male,no
1645,Ca Mau,marathon,23,female,yes
1646,Vinh,football,19,male,yes
1647,Vinh Phuc,volleyball,18,male,yes
1648,Vinh,badminton,22,male,no
1649,Ha Noi,football,20,male,no
1650,Ca Mau,football,19,male,yes
1651,Binh Duong,badminton,20,male,no
1652,Hai Duong,volleyball,19,male,no
1653,Ca Mau,volleyball,23,female,yes
1654,Hai Duong,badminton,22,female,yes
1655,Vinh Phuc,badminton,18,female,no
1656,Ca Mau,volleyball,23,female,no
1657,Ha Noi,football,23,female,yes
1658,Vinh,volleyball,21,female,yes
1659,Ca Mau,football,20,female,no
1660,Binh Duong,badminton,20,male,no
1661,Vinh Phuc,football,22,female,no
1662,Vinh Phuc,badminton,20,male,no
1663,Hai Duong,volleyball,18,female,yes
1664,Binh Duong,volleyball,19,male,no
1665,Hai Phong,football,18,male,no
1666,Binh Duong,football,18,female,no
1667,Vinh Phuc,badminton,23,male,no
1668,Hai Duong,football,22,male,yes
1669,Binh Duong,badminton,18,female,no
1670,Hai Phong,marathon,19,female,no
1671,Vinh Phuc,badminton,23,female,no
1672,Hai Duong,football,19,female,no
1673,Vinh Phuc,volleyball,18,female,yes
1674,Hai Phong,marathon,23,female,no
1675,Hai Phong,volleyball,19,male,no
1676,Binh Duong,marathon,22,male,yes
1677,Vinh,badminton,22,male,no
1678,Vinh,volleyball,22,male,yes
1679,Ca Mau,football,23,female,no
1680,Vinh Phuc,marathon,20,male,yes
1681,Ca Mau,football,18,male,yes
1682,Binh Duong,badminton,23,male,no
1683,Vinh,marathon,23,male,yes
1684,Hai Duong,marathon,22,male,no
1685,Ha Noi,badminton,23,female,no
1686,Vinh Phuc,volleyball,20,male,no
1687,Ha Noi,volleyball,23,female,yes
1688,Vinh,football,23,female,yes
1689,Ca Mau,badminton,23,male,yes
1690,Vinh,marathon,22,female,yes
1691,Binh Duong,football,20,female,yes
1692,Hai Duong,badminton,20,male,no
1693,Binh Duong,football,19,female,yes
1694,Hai Phong,football,20,male,yes
1695,Binh Duong,volleyball,21,female,no
1696,Vinh,football,21,male,no
1697,Hai Phong,volleyball,23,female,no
1698,Binh Duong,badminton,20,female,no
1699,Vinh Phuc,football,20,female,yes
1700,Binh Duong,football,20,male,no
1701,Ha Noi,volleyball,19,female,yes
1702,Hai Duong,volleyball,23,female,no
1703,Vinh Phuc,football,19,male,no
1704,Vinh Phuc,volleyball,18,female,yes
1705,Vinh,marathon,18,female,no
1706,Ha Noi,football,21,female,yes
1707,Ca Mau,marathon,21,male,no
1708,Binh Duong,marathon,22,female,no
1709,Hai Duong,football,21,female,no
1710,Vinh,volleyball,18,female,yes
1711,Hai Duong,football,22,male,yes
1712,Hai Duong,volleyball,20,female,no
1713,Hai Duong,marathon,19,female,no
1714,Hai Phong,football,21,male,yes
1715,Ha Noi,football,22,male,no
1716,Vinh,badminton,23,male,no
1717,Ca Mau,volleyball,21,female,yes
1718,Binh Duong,volleyball,19,male,no
1719,Ha Noi,badminton,21,male,no
1720,Vinh,football,19,male,yes
1721,Vinh Phuc,football,20,female,no
1722,Vinh Phuc,marathon,18,male,yes
1723,Ha Noi,volleyball,19,female,no
1724,Ha Noi,football,21,female,no
1725,Hai Duong,badminton,18,female,yes
1726,Ha Noi,football,20,female,yes
1727,Ca Mau,football,19,male,yes
1728,Vinh,badminton,22,male,no
1729,Vinh Phuc,badminton,21,female,yes
1730,Binh Duong,marathon,21,female,yes
1731,Vinh Phuc,marathon,18,male,yes
1732,Vinh,volleyball,19,female,no
1733,Hai Duong,volleyball,21,female,yes
1734,Vinh Phuc,volleyball,19,female,yes
1735,Binh Duong,badminton,19,female,no
1736,Vinh Phuc,marathon,20,female,no
1737,Hai Phong,marathon,22,male,no
1738,Hai Phong,volleyball,21,male,yes
1739,Ca Mau,badminton,21,male,no
1740,Binh Duong,volleyball,23,male,yes
1741,Vinh Phuc,badminton,20,female,no
1742,Vinh Phuc,badminton,19,male,yes
1743,Vinh,football,20,male,no
1744,Ha Noi,football,18,male,no
1745,Vinh Phuc,badminton,21,male,no
1746,Ha Noi,marathon,18,male,no
1747,Hai Phong,marathon,21,female,yes
1748,Ca Mau,marathon,20,male,yes
1749,Hai Duong,badminton,20,female,yes
1750,Vinh Phuc,football,22,male,no
1751,Binh Duong,badminton,20,male,no
1752,Vinh,badminton,23,female,no
1753,Vinh,badminton,23,female,no
1754,Vinh,badminton,18,male,yes
1755,Binh Duong,badminton,18,male,yes
1756,Vinh Phuc,marathon,19,male,no
1757,Ca Mau,football,21,male,yes
1758,Ha Noi,football,21,female,no
1759,Ca Mau,badminton,22,female,no
1760,Ca Mau,volleyball,19,male,yes
1761,Hai Duong,football,19,female,yes
1762,Hai Duong,football,21,female,yes
1763,Vinh,football,18,female,no
1764,Vinh,football,21,female,no
1765,Ca Mau,marathon,18,female,yes
1766,Hai Phong,marathon,21,male,no
1767,Ca Mau,badminton,21,female,yes
1768,Vinh Phuc,badminton,21,male,no
1769,Ha Noi,football,18,male,yes
1770,Ha Noi,volleyball,18,female,yes
1771,Ca Mau,football,18,male,yes
1772,Hai Phong,marathon,18,male,no
1773,Ca Mau,football,21,female,yes
1774,Hai Duong,volleyball,23,female,no
1775,Hai Phong,badminton,20,female,no
1776,Hai Duong,badminton,22,female,no
1777,Hai Duong,football,18,male,yes
1778,Vinh Phuc,football,18,female,yes
1779,Vinh Phuc,marathon,18,male,no
1780,Hai Duong,marathon,20,male,yes
1781,Ca Mau,football,19,male,yes
1782,Hai Duong,football,23,male,no
1783,Hai Phong,volleyball,19,male,yes
1784,Vinh Phuc,marathon,20,male,yes
1785,Ha Noi,volleyball,20,male,no
1786,Ha Noi,badminton,18,female,no
1787,Vinh,football,19,male,yes
1788,Ha Noi,badminton,19,female,yes
1789,Hai Duong,football,19,male,no
1790,Vinh Phuc,marathon,20,female,no
1791,Hai Phong,marathon,22,female,no
1792,Hai Duong,badminton,22,female,yes
1793,Ca Mau,badminton,23,female,yes
1794,Ca Mau,volleyball,18,male,yes
1795,Vinh,marathon,19,male,yes
1796,Hai Phong,marathon,20,female,no
1797,Hai Phong,football,19,male,no
1798,Hai Phong,marathon,18,male,yes
1799,Binh Duong,volleyball,21,female,no
1800,Hai Duong,football,20,female,yes
1801,Ha Noi,badminton,19,female,no
1802,Ca Mau,marathon,18,female,no
1803,Ca Mau,volleyball,23,female,yes
1804,Ca Mau,badminton,19,female,yes
1805,Vinh Phuc,football,23,male,no
1806,Binh Duong,volleyball,21,male,no
1807,Hai Phong,badminton,20,female,yes
1808,Vinh Phuc,volleyball,23,male,no
1809,Hai Duong,volleyball,20,male,yes
1810,Vinh Phuc,volleyball,23,male,no
1811,Vinh,volleyball,20,female,yes
1812,Ca Mau,football,22,male,no
1813,Vinh,marathon,22,male,no
1814,Binh Duong,badminton,18,male,yes
1815,Ca Mau,football,20,female,no
1816,Hai Duong,badminton,21,female,no
1817,Ca Mau,volleyball,22,male,yes
1818,Binh Duong,marathon,19,male,yes
1819,Binh Duong,badminton,22,female,no
1820,Hai Duong,football,21,male,yes
1821,Binh Duong,volleyball,20,male,yes
1822,Vinh,badminton,23,male,no
1823,Hai Phong,volleyball,21,male,no
1824,Hai Duong,volleyball,22,male,yes
1825,Binh Duong,badminton,20,female,yes
1826,Vinh,volleyball,21,female,yes
1827,Hai Duong,football,20,female,yes
1828,Hai Duong,football,20,male,no
1829,Ha Noi,volleyball,23,female,yes
1830,Binh Duong,badminton,21,female,no
1831,Vinh,marathon,18,male,yes
1832,Hai Phong,volleyball,23,male,yes
1833,Ha Noi,marathon,18,female,yes
1834,Hai Duong,marathon,20,male,yes
1835,Vinh,football,18,female,no
1836,Vinh Phuc,volleyball,18,male,yes
1837,Ca Mau,volleyball,18,male,no
1838,Hai Duong,volleyball,21,male,yes
1839,Binh Duong,football,23,male,yes
1840,Vinh Phuc,volleyball,23,male,yes
1841,Hai Duong,badminton,22,female,yes
1842,Ca Mau,marathon,22,female,yes
1843,Ca Mau,marathon,23,male,no
1844,Ca Mau,marathon,22,female,no
1845,Vinh,football,22,female,no
1846,Binh Duong,football,18,male,yes
1847,Ca Mau,badminton,19,male,yes
1848,Vinh Phuc,marathon,20,female,yes
1849,Ha Noi,badminton,21,male,no
1850,Hai Duong,football,19,male,yes
1851,Binh Duong,badminton,22,female,yes
1852,Vinh Phuc,marathon,20,male,yes
1853,Hai Duong,marathon,21,female,yes
1854,Hai Phong,volleyball,20,female,yes
1855,Ca Mau,badminton,21,male,yes
1856,Vinh,badminton,18,male,no
1857,Binh Duong,badminton,22,male,no
1858,Vinh Phuc,badminton,20,female,yes
1859,Hai Phong,marathon,19,male,no
1860,Hai Phong,volleyball,18,female,no
1861,Ca Mau,badminton,22,female,yes
1862,Binh Duong,football,20,male,no
1863,Ca Mau,marathon,22,female,no
1864,Binh Duong,football,18,male,yes
1865,Vinh Phuc,volleyball,23,male,no
1866,Ca Mau,volleyball,20,male,no
1867,Binh Duong,marathon,21,male,no
1868,Hai Duong,badminton,20,female,yes
1869,Binh Duong,volleyball,19,female,yes
1870,Vinh Phuc,badminton,18,male,no
1871,Binh Duong,marathon,22,female,no
1872,Ca Mau,marathon,20,female,yes
1873,Hai Duong,marathon,23,female,yes
1874,Ca Mau,football,18,male,yes
1875,Ca Mau,marathon,23,male,no
1876,Ha Noi,badminton,20,female,yes
1877,Binh Duong,badminton,21,female,yes
1878,Hai Duong,volleyball,23,female,yes
1879,Hai Duong,marathon,19,male,yes
1880,Ha Noi,football,20,male,yes
1881,Vinh,marathon,23,female,yes
1882,Binh Duong,badminton,19,female,yes
1883,Vinh,volleyball,18,female,yes
1884,Vinh,marathon,22,female,yes
1885,Vinh Phuc,volleyball,20,male,no
1886,Hai Duong,marathon,22,female,no
1887,Ca Mau,marathon,18,female,no
1888,Hai Phong,football,19,female,no
1889,Hai Phong,marathon,19,male,yes
1890,Ha Noi,volleyball,20,male,yes
1891,Vinh,volleyball,22,female,no
1892,Binh Duong,badminton,20,female,no
1893,Ca Mau,badminton,21,male,yes
1894,Hai Phong,marathon,21,female,no
1895,Ha Noi,football,22,male,no
1896,Vinh Phuc,badminton,19,male,no
1897,Hai Duong,badminton,22,male,yes
1898,Binh Duong,marathon,22,male,yes
1899,Ca Mau,football,21,male,yes
1900,Binh Duong,badminton,21,female,no
1901,Binh Duong,badminton,20,male,no
1902,Vinh,volleyball,22,male,no
1903,Ha Noi,badminton,21,male,no
1904,Binh Duong,badminton,21,female,yes
1905,Vinh Phuc,football,20,male,no
1906,Hai Phong,badminton,22,female,no
1907,Hai Duong,badminton,22,male,no
1908,Ha Noi,football,21,male,no
1909,Ha Noi,badminton,19,male,no
1910,Vinh Phuc,football,19,male,no
1911,Binh Duong,badminton,22,male,no
1912,Hai Phong,marathon,22,female,no
1913,Ha Noi,badminton,19,male,no
1914,Hai Phong,football,22,male,yes
1915,Hai Phong,volleyball,23,male,yes
1916,Binh Duong,volleyball,19,male,yes
1917,Vinh Phuc,marathon,22,female,no
1918,Binh Duong,football,21,male,yes
1919,Vinh Phuc,football,23,female,yes
1920,Hai Phong,marathon,23,male,no
1921,Ca Mau,marathon,18,female,no
1922,Binh Duong,marathon,23,male,yes
1923,Binh Duong,marathon,20,male,no
1924,Hai Phong,volleyball,18,female,no
1925,Vinh Phuc,badminton,23,male,yes
1926,Vinh,badminton,23,male,no
1927,Binh Duong,marathon,22,female,no
1928,Vinh,football,19,male,yes
1929,Vinh,football,22,female,yes
1930,Ha Noi,football,21,male,no
1931,Ha Noi,marathon,23,male,no
1932,Ca Mau,badminton,22,male,yes
1933,Ca Mau,football,18,female,yes
1934,Vinh,badminton,22,male,no
1935,Ca Mau,volleyball,22,female,yes
1936,Ca Mau,marathon,20,female,yes
1937,Hai Duong,marathon,22,female,yes
1938,Ha Noi,badminton,19,female,yes
1939,Vinh Phuc,football,23,male,no
1940,Binh Duong,badminton,18,female,yes
1941,Hai Duong,marathon,20,male,yes
1942,Ha Noi,football,23,male,no
1943,Hai Phong,volleyball,21,male,no
1944,Ca Mau,badminton,23,male,yes
1945,Binh Duong,marathon,19,male,yes
1946,Hai Duong,volleyball,22,female,no
1947,Hai Duong,marathon,18,female,no
1948,Vinh,badminton,20,male,no
1949,Binh Duong,marathon,20,male,no
1950,Vinh,marathon,19,male,no
1951,Hai Duong,marathon,18,female,no
1952,Vinh,football,19,male,no
1953,Vinh Phuc,badminton,22,male,no
1954,Hai Phong,volleyball,21,female,no
1955,Vinh,marathon,21,male,no
1956,Vinh,marathon,21,female,yes
1957,Vinh Phuc,marathon,21,female,no
1958,Binh Duong,marathon,20,female,yes
1959,Vinh Phuc,volleyball,18,female,yes
1960,Ha Noi,football,23,female,no
1961,Ca Mau,badminton,23,female,yes
1962,Binh Duong,football,18,male,yes
1963,Hai Phong,football,18,female,yes
1964,Vinh Phuc,football,21,female,no
1965,Ha Noi,football,22,male,yes
1966,Vinh Phuc,football,18,male,no
1967,Ha Noi,volleyball,20,male,yes
1968,Ca Mau,football,23,female,yes
1969,Ha Noi,badminton,20,female,yes
1970,Vinh Phuc,volleyball,21,male,yes
1971,Hai Duong,marathon,20,female,no
1972,Hai Duong,football,23,female,no
1973,Vinh Phuc,badminton,18,female,yes
1974,Ha Noi,marathon,20,female,no
1975,Binh Duong,volleyball,18,male,yes
1976,Ha Noi,marathon,18,female,no
1977,Hai Duong,marathon,21,male,yes
1978,Vinh Phuc,badminton,19,female,no
1979,Vinh,badminton,22,male,yes
1980,Hai Phong,marathon,22,male,yes
1981,Vinh Phuc,badminton,19,female,no
1982,Vinh Phuc,football,20,male,no
1983,Hai Duong,marathon,18,female,no
1984,Hai Duong,football,22,female,no
1985,Ca Mau,volleyball,23,male,yes
1986,Ca Mau,football,19,male,yes
1987,Ca Mau,badminton,20,male,no
1988,Binh Duong,volleyball,21,male,yes
1989,Hai Duong,volleyball,23,female,no
1990,Vinh Phuc,volleyball,21,male,yes
1991,Hai Phong,badminton,22,female,yes
1992,Hai Duong,marathon,23,female,yes
1993,Hai Duong,volleyball,19,male,yes
1994,Hai Phong,football,19,female,yes
1995,Hai Duong,volleyball,22,female,yes
1996,Hai Phong,football,23,male,yes
1997,Hai Duong,badminton,23,female,yes
1998,Hai Phong,badminton,23,male,yes
1999,Hai Duong,volleyball,19,male,no
2000,Binh Duong,marathon,19,male,no
2001,Vinh Phuc,volleyball,18,female,no
2002,Vinh Phuc,football,20,male,no
2003,Vinh Phuc,marathon,19,male,no
2004,Hai Phong,volleyball,18,male,yes
2005,Hai Phong,volleyball,22,female,yes
2006,Vinh Phuc,volleyball,19,female,yes
2007,Hai Duong,volleyball,20,male,no
2008,Vinh,football,22,male,yes
2009,Hai Duong,football,22,male,yes
2010,Binh Duong,badminton,20,male,no
2011,Ha Noi,volleyball,20,female,no
2012,Hai Duong,volleyball,23,female,yes
2013,Ca Mau,badminton,19,female,no
2014,Binh Duong,badminton,21,male,no
2015,Binh Duong,volleyball,23,male,yes
2016,Binh Duong,volleyball,23,female,yes
2017,Vinh Phuc,football,21,female,yes
2018,Vinh Phuc,football,19,female,yes
2019,Hai Phong,volleyball,20,male,yes
2020,Hai Phong,football,20,male,no
2021,Vinh Phuc,badminton,22,female,yes
2022,Ca Mau,marathon,21,male,no
2023,Ca Mau,marathon,21,male,no
2024,Binh Duong,marathon,20,male,no
2025,Ha Noi,football,20,male,no
2026,Hai Phong,marathon,23,male,no
2027,Ha Noi,football,20,male,yes
2028,Hai Duong,marathon,23,female,yes
2029,Binh Duong,badminton,23,male,yes
2030,Hai Phong,football,20,male,yes
2031,Vinh Phuc,marathon,23,female,no
2032,Binh Duong,football,19,female,no
2033,Ha Noi,football,20,male,no
2034,Vinh,marathon,20,male,no
2035,Ha Noi,badminton,20,male,yes
2036,Ha Noi,marathon,21,female,no
2037,Ca Mau,volleyball,19,male,yes
2038,Vinh,football,22,male,yes
2039,Ha Noi,badminton,21,male,no
2040,Ha Noi,football,18,female,yes
2041,Vinh,badminton,22,female,yes
2042,Vinh Phuc,marathon,22,male,no
2043,Hai Phong,marathon,20,male,yes
2044,Binh Duong,badminton,20,female,no
2045,Binh Duong,badminton,19,male,no
2046,Ha Noi,badminton,22,female,no
2047,Hai Phong,badminton,23,female,no
2048,Binh Duong,football,22,female,no
2049,Hai Phong,volleyball,23,female,yes
2050,Vinh Phuc,football,20,male,yes
2051,Binh Duong,volleyball,23,female,no
2052,Vinh,volleyball,20,female,no
2053,Hai Phong,volleyball,19,female,no
2054,Hai Duong,marathon,23,female,yes
2055,Vinh Phuc,badminton,21,female,yes
2056,Vinh,marathon,18,male,yes
2057,Hai Phong,volleyball,20,male,no
2058,Binh Duong,football,18,male,yes
2059,Hai Phong,marathon,22,male,no
2060,Vinh Phuc,marathon,19,female,yes
2061,Hai Duong,volleyball,20,female,no
2062,Vinh,football,20,female,yes
2063,Hai Phong,volleyball,23,male,no
2064,Ca Mau,volleyball,21,male,no
2065,Vinh,marathon,20,female,no
2066,Vinh,volleyball,21,female,yes
2067,Hai Duong,badminton,22,male,yes
2068,Hai Phong,marathon,22,male,yes
2069,Hai Duong,badminton,19,male,yes
2070,Vinh,volleyball,23,female,yes
2071,Vinh,football,20,male,no
2072,Binh Duong,volleyball,19,male,yes
2073,Vinh,volleyball,21,female,no
2074,Vinh Phuc,football,18,male,no
2075,Hai Phong,marathon,20,male,yes
2076,Ca Mau,marathon,18,male,no
2077,Vinh Phuc,football,20,female,no
2078,Binh Duong,marathon,19,male,no
2079,Vinh,football,20,male,yes
2080,Hai Phong,volleyball,22,male,no
2081,Binh Duong,football,19,female,yes
2082,Binh Duong,volleyball,20,male,yes
2083,Ca Mau,marathon,18,female,yes
2084,Hai Duong,volleyball,21,female,yes
2085,Binh Duong,marathon,19,female,no
2086,Hai Duong,volleyball,22,male,no
2087,Binh Duong,badminton,19,male,no
2088,Ha Noi,volleyball,19,female,no
2089,Hai Phong,volleyball,18,male,yes
2090,Vinh,badminton,18,female,no
2091,Hai Phong,football,22,female,yes
2092,Hai Phong,football,20,female,yes
2093,Ca Mau,football,22,female,no
2094,Ca Mau,badminton,23,male,no
2095,Vinh Phuc,football,18,male,no
2096,Binh Duong,badminton,18,male,yes
2097,Vinh,badminton,23,male,no
2098,Vinh,volleyball,23,female,yes
2099,Vinh Phuc,badminton,18,female,yes
2100,Ha Noi,volleyball,20,male,yes
2101,Hai Duong,volleyball,18,male,no
2102,Hai Duong,volleyball,21,female,no
2103,Hai Duong,marathon,20,male,no
2104,Ca Mau,volleyball,21,female,no
2105,Hai Duong,volleyball,22,female,no
2106,Ca Mau,marathon,22,female,no
2107,Vinh Phuc,marathon,18,female,no
2108,Ha Noi,volleyball,21,male,yes
2109,Binh Duong,volleyball,18,male,no
2110,Hai Phong,volleyball,19,female,yes
2111,Hai Phong,marathon,22,female,no
2112,Ha Noi,football,18,female,yes
2113,Hai Duong,marathon,21,female,yes
2114,Hai Phong,marathon,20,female,yes
2115,Hai Phong,football,20,female,yes
2116,Ca Mau,volleyball,21,male,no
2117,Hai Phong,marathon,18,male,no
2118,Hai Duong,volleyball,23,female,yes
2119,Vinh Phuc,marathon,18,male,yes
2120,Vinh Phuc,volleyball,19,male,no
2121,Vinh,football,20,female,yes
2122,Hai Phong,football,21,male,no
2123,Ha Noi,marathon,18,male,no
2124,Vinh Phuc,football,20,male,no
2125,Hai Duong,volleyball,22,male,yes
2126,Vinh,football,20,male,yes
2127,Ha Noi,marathon,20,male,yes
2128,Hai Phong,badminton,22,male,yes
2129,Ca Mau,marathon,20,male,yes
2130,Vinh,marathon,22,female,yes
2131,Vinh,badminton,20,male,no
2132,Ha Noi,volleyball,18,female,no
2133,Ca Mau,marathon,23,male,yes
2134,Ca Mau,volleyball,18,male,no
2135,Ca Mau,volleyball,19,male,yes
2136,Hai Phong,volleyball,22,female,yes
2137,Ha Noi,badminton,21,female,yes
2138,Ca Mau,badminton,21,female,yes
2139,Vinh Phuc,volleyball,19,female,yes
2140,Hai Duong,football,22,female,yes
2141,Ha Noi,volleyball,20,male,yes
2142,Ha Noi,volleyball,23,male,yes
2143,Binh Duong,volleyball,23,female,yes
2144,Ha Noi,badminton,18,female,no
2145,Ha Noi,football,21,male,no
2146,Ca Mau,badminton,22,male,no
2147,Binh Duong,marathon,20,female,no
2148,Hai Phong,marathon,18,female,yes
2149,Ha Noi,volleyball,20,male,yes
2150,Vinh Phuc,volleyball,21,female,no
2151,Ca Mau,football,22,male,no
2152,Vinh Phuc,volleyball,19,male,yes
2153,Vinh,volleyball,23,female,yes
2154,Ha Noi,marathon,20,female,yes
2155,Hai Duong,football,20,male,yes
2156,Ha Noi,football,20,male,no
2157,Binh Duong,football,21,male,no
2158,Vinh,marathon,21,female,yes
2159,Ca Mau,badminton,19,male,no
2160,Ha Noi,marathon,18,female,yes
2161,Ca Mau,marathon,20,male,no
2162,Vinh Phuc,badminton,23,male,yes
2163,Vinh Phuc,marathon,23,male,yes
2164,Ha Noi,football,19,female,yes
2165,Binh Duong,volleyball,22,male,no
2166,Ha Noi,football,19,male,no
2167,Hai Phong,marathon,23,male,yes
2168,Binh Duong,volleyball,22,female,no
2169,Vinh Phuc,volleyball,20,male,yes
2170,Hai Phong,badminton,22,male,yes
2171,Ha Noi,volleyball,20,female,no
2172,Hai Duong,marathon,18,female,yes
2173,Vinh,volleyball,23,female,no
2174,Vinh,marathon,23,female,yes
2175,Hai Duong,football,18,male,yes
2176,Binh Duong,marathon,19,male,yes
2177,Ha Noi,football,21,male,no
2178,Ha Noi,marathon,20,female,no
2179,Vinh Phuc,marathon,20,female,yes
2180,Hai Phong,badminton,20,female,yes
2181,Vinh,football,22,male,yes
2182,Hai Phong,badminton,20,male,yes
2183,Hai Phong,volleyball,18,male,yes
2184,Ha Noi,badminton,23,male,no
2185,Hai Duong,marathon,20,male,yes
2186,Ha Noi,volleyball,22,male,yes
2187,Ha Noi,football,22,female,no
2188,Hai Phong,badminton,19,male,yes
2189,Ha Noi,badminton,18,female,no
2190,Hai Phong,marathon,23,male,yes
2191,Vinh Phuc,football,18,female,no
2192,Ha Noi,badminton,23,male,no
2193,Vinh,badminton,19,female,no
2194,Ca Mau,football,23,female,yes
2195,Ca Mau,badminton,18,female,no
2196,Vinh Phuc,marathon,19,male,no
2197,Vinh Phuc,football,18,male,no
2198,Hai Duong,football,20,female,yes
2199,Ha Noi,marathon,22,female,no
2200,Ca Mau,volleyball,19,female,yes
2201,Vinh Phuc,badminton,20,female,no
2202,Hai Phong,badminton,20,male,no
2203,Hai Phong,marathon,23,male,no
2204,Hai Phong,badminton,23,male,no
2205,Vinh Phuc,volleyball,18,female,no
2206,Binh Duong,football,22,female,no
2207,Hai Phong,badminton,19,male,yes
2208,Binh Duong,football,22,male,yes
2209,Vinh Phuc,marathon,23,male,no
2210,Vinh Phuc,volleyball,23,male,no
2211,Vinh Phuc,badminton,19,male,yes
2212,Ha Noi,marathon,21,male,yes
2213,Ha Noi,volleyball,22,female,yes
2214,Vinh,volleyball,22,female,yes
2215,Vinh Phuc,volleyball,19,female,yes
2216,Binh Duong,volleyball,23,male,yes
2217,Vinh Phuc,volleyball,21,male,no
2218,Hai Phong,football,18,male,no
2219,Binh Duong,volleyball,22,male,no
2220,Vinh Phuc,marathon,18,female,yes
2221,Binh Duong,football,23,male,yes
2222,Hai Phong,marathon,18,male,no
2223,Vinh Phuc,volleyball,20,male,yes
2224,Vinh Phuc,volleyball,23,female,yes
2225,Ha Noi,football,20,female,yes
2226,Ha Noi,football,22,male,yes
2227,Hai Phong,marathon,23,female,yes
2228,Hai Phong,football,19,male,no
2229,Ca Mau,badminton,19,female,yes
2230,Ha Noi,football,22,male,no
2231,Vinh Phuc,volleyball,23,female,no
2232,Hai Phong,badminton,19,male,no
2233,Hai Phong,badminton,23,female,no
2234,Vinh Phuc,football,20,male,yes
2235,Binh Duong,badminton,19,male,no
2236,Vinh Phuc,football,18,female,yes
2237,Binh Duong,football,22,female,yes
2238,Hai Duong,badminton,19,female,no
2239,Vinh,badminton,23,male,yes
2240,Vinh,volleyball,23,male,no
2241,Ca Mau,badminton,23,male,no
2242,Vinh Phuc,marathon,18,female,no
2243,Binh Duong,volleyball,23,female,yes
2244,Vinh Phuc,marathon,20,male,yes
2245,Hai Duong,volleyball,22,female,no
2246,Ca Mau,marathon,21,female,no
2247,Hai Duong,marathon,21,female,no
2248,Vinh Phuc,football,22,male,no
2249,Vinh Phuc,badminton,21,male,no
2250,Hai Phong,volleyball,18,male,yes
2251,Ha Noi,marathon,18,female,yes
2252,Ha Noi,football,23,male,yes
2253,Hai Phong,volleyball,21,female,no
2254,Hai Duong,football,18,female,no
2255,Hai Phong,marathon,18,male,no
2256,Vinh,badminton,21,male,no
2257,Vinh Phuc,badminton,21,male,yes
2258,Hai Duong,volleyball,21,female,yes
2259,Ca Mau,volleyball,19,male,no
2260,Ca Mau,marathon,18,male,yes
2261,Vinh,marathon,18,female,yes
2262,Binh Duong,badminton,21,female,no
2263,Ca Mau,football,20,female,no
2264,Ha Noi,marathon,20,male,yes
2265,Hai Phong,marathon,18,male,no
2266,Vinh,football,22,male,yes
2267,Ha Noi,volleyball,20,male,no
2268,Vinh,volleyball,23,female,no
2269,Ha Noi,badminton,20,female,no
2270,Vinh Phuc,marathon,18,female,no
2271,Vinh Phuc,volleyball,23,male,no
2272,Hai Phong,volleyball,21,female,no
2273,Binh Duong,volleyball,21,male,yes
2274,Vinh Phuc,football,23,male,no
2275,Hai Phong,volleyball,18,male,yes
2276,Vinh,volleyball,19,female,no
2277,Vinh Phuc,marathon,20,female,no
2278,Hai Phong,badminton,22,male,yes
2279,Binh Duong,marathon,20,female,no
2280,Binh Duong,marathon,22,male,no
2281,Hai Duong,volleyball,20,male,no
2282,Vinh,football,20,male,yes
2283,Vinh,football,21,male,yes
2284,Ha Noi,football,18,male,yes
2285,Ha Noi,football,23,male,no
2286,Binh Duong,marathon,23,female,no
